,city
0,Москва
1,Санкт-Петербург
3,Екатеринбург
4,Новосибирск
5,Краснодар
6,Казань
7,Нижний Новгород
8,Уфа
9,Ростов-на-Дону
10,Красноярск
12,Самара
13,Воронеж
14,Челябинск
15,Пермь
16,Тюмень
17,Омск
18,Иркутск
19,Волгоград
20,Ярославль
21,Саратов
22,Барнаул
23,Ижевск
25,Тула
26,Тверь
27,Рязань
28,Набережные Челны
29,Томск
30,Сочи
31,Белгород
32,Хабаровск
33,Владимир
34,Киров (Кировская область)
35,Тольятти
36,Кемерово
37,Пенза
38,Чебоксары
39,Оренбург
40,Ульяновск
41,Липецк
42,Калининград
43,Владивосток
44,Иваново (Ивановская область)
45,Калуга
46,Новокузнецк
47,Подольск (Московская область)
48,Ставрополь
49,Брянск
50,Курск
51,Смоленск
52,Химки
53,Вологда
54,Сургут
55,Кострома
56,Симферополь
57,Астрахань
58,Орел
59,Мытищи
60,Тамбов
61,Улан-Удэ
62,Одинцово
63,Зеленоград
64,Мурманск
65,Архангельск
66,Йошкар-Ола
67,Люберцы
68,Красногорск
69,Балашиха
70,Новороссийск
71,Саранск
72,Череповец
73,Караганда
75,Севастополь
76,Магнитогорск
77,Домодедово
78,Петрозаводск
80,Великий Новгород
81,Курган
82,Чита
83,Благовещенск (Амурская область)
84,Псков
85,Стерлитамак
87,Нижневартовск
88,Нижний Тагил
89,Обнинск
90,Королев
91,Дзержинск (Нижегородская область)
93,Абакан
